"entity","identifier"
"(la )?Seine(-&-Oise)?(-et-Marne)?",""
"S(enlis|ENLIS)","l0470"
"S(e|a)rajevo","l0471"
"Serbie","l0472"
"Shangaï","l0473"
"Sibérie","l0474"
"Sigriswil","l0475"
"Sillé(-le-Guillaume)?","l0476"
"Soissons","l0477"
"Solférino","l0478"
"(la )?Somme","l0479"
"(la )?(S|s)orbonne","l0480"
"Souchez","l0481"
"Souzoy","l0482"
"St-Calais","l0483"
"St-Cyr","l0484"
"St-J(ean|EAN)-de( |-)M(onts|ONTS)","l0485"
"St-Martino","l0486"
"Boulevard St-Michel","l0487"
"St-Omer","l0488"
"St-Paterne","l0489"
"St-Pierre-des-Corps","l0490"
"St-Quentin","l0491"
"St-Sulpice-Auteuil","l0492"
"Stockholm","l0493"
"St(-| )?Pétersbourg","l0494"
"Strand","l0495"
"Strasbourg","l0496"
"Suède","l0497"
"S(uisse|UISSE)","l0498"
"Sunderland House","l0499"
"S(ussex|USSEX)","l0500"
"Sydney","l0501"
"Syrie","l0502"
"Talhouet","l0503"
"Terre-Neuve","l0504"
"Texas","l0505"
"T(houne|HOUNE)","l0506"
"Thrace","l0507"
"TOKYO","l0508"
"Tonkin","l0509"
"Toul(on|ouse)?",""
"Touraine","l0513"
"Touron","l0514"
"Tours","l0515"
"Trans(v|w)aal","l0516"
"Trégastel","l0517"
"TREVENEC","l0518"
"Trieste","l0519"
"Trocadéro","l0520"
"Tuffé","l0521"
"(la )?Tunis(ie)?",""
"Turin","l0524"
"Turquie","l0525"
"Udine","l0526"
"Ukraine","l0527"
"Upton","l0528"
"Vaas","l0529"
"Vancouver","l0530"
"Vannes","l0531"
"Vardar","l0532"
"Vaterland","l0533"
"Vatican","l0534"
"Vendée","l0535"
"V(end(ô|ê)me|ENDOME)","l0536"
"V(enizelos|ENIZELOS)","l0537"
"Verdon","l0538"
"(V|v)(erdun|ERDUN)","l0539"
"V(ERSAILLES|ersaî(î|l)(L|l)es)","l0540"
"Vezins","l0541"
"Vibraye","l0542"
"Vichy","l0543"
"Vienne","l0544"
"Villacoublay","l0545"
"Villers-Cotteret","l0546"
"Villersexel","l0547"
"Vimy","l0548"
"Vistule","l0549"
"Vitry-le-François","l0550"
"Vittel","l0551"
"Vladivostok","l0552"
"Volga","l0553"
"Vosges","l0554"
"W(ashington|ASHINGTON)","l0555"
"Waterloo","l0556"
"W(eardale|EARDALE) Manor","l0557"
"West End","l0558"
"Westminster House","l0559"
"Whitehall","l0560"
"Wilhemstrasse","l0561"
"Y(pres|PRES)","l0562"
"Yser","l0563"
"Z(urich|URICH)","l0564"
