"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief22vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 22 février 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 22 February 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 22. Februar 1768)","correspondance","Johann Albrecht Euler","1768-02-22","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief23vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 14 mars 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 14 March 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 14. März 1768)","correspondance","Johann Albrecht Euler","1768-03-14","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief24vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 7 avril 1769)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 7 April 1769)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 7. April 1769)","correspondance","Johann Albrecht Euler","1768-04-07","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief25vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 16 avril 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 16 April 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 16. April 1768)","correspondance","Johann Albrecht Euler","1768-04-16","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief26vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 24 mars 1769)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 24 March 1769)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 24. März 1769)","correspondance","Johann Albrecht Euler","1768-05-27","fr de la","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief27vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 27 mai 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 27 May 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 27. Mai 1768)","correspondance","Johann Albrecht Euler","1768-05-27","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief28vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 3 juin 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 3 June 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 3. Juni 1768)","correspondance","Johann Albrecht Euler","1768-06-03","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief29vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 20 juin 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 20 June 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 20. Juni 1768)","correspondance","Johann Albrecht Euler","1768-06-20","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief30vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 24 June 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 24 Juin 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 24. Juni 1768)","correspondance","Johann Albrecht Euler","1768-06-24","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief31vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 18 July 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 18 Juillet 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 18. Juli 1768)","correspondance","Johann Albrecht Euler","1768-07-18","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
